ARTIST	LINK	ID	COMMENT	
			WHY IS THIS CROWD SO DRY I WOULD HAVE BEEN GOING OFF MY HEAD	
			I think we all know that Harry is going to be remembered as another iconic English singer and I’m so happy to witness it lol	
			The most amazing thing about Harry is that he needs no auto tune. His voice is so naturally beautiful and smooth. It’s crazy amazing	
			Harry styles is someone no one can say anything negative about.	
			I’m telling my kids this was Jesus Christ	
			the dangerous thing about harry styles is that his looks are just a bonus	
			I honestly cann't trust people who don' t like Harry styles	
			this guy is just RIDICULOUSLY hot	
Taylor Swift	https://youtu.be/_t-fhPUPMrY	_t-fhPUPMrY	The only reason why I wanna be rich is to afford to have Taylor Swift sing Lover live at my wedding reception. Periodttttt	
			I wonder if Taylor’s parents realized they were making history when they bought her her first guitar	
			i love that she always introduces herself like no one knows her	
			"I will never grow tired of Taylor introducing herself like, ""hi, I am Taylor""."	
			She literally could turn any event into her concert	
			"CRUEL SUMMER, MISS AMERICANA & CORNELIA STREET DESERVES MOOOOORE"	
			"She really does know how to interact with the audience & give meaningful, articulate speeches that people wouldn't get bored of.  Truly an icon."	
			I'm so obsessed with her. Personality and music. She's the bomb.	
			This girl is like wine: every year is better I mean prettier and as performer amazing	
			She is the only artist who gave credit to the other co-artists while performing on stage.. I LOVE HER!!!!!!❤	
Post Malone	https://youtu.be/eCto5AUNfyo	eCto5AUNfyo	"Circles is not just a song, it's an emotion."	
			Posty really can’t make a bad song. Circles is so good!	
			Circles is going to be a big hit when it officially comes out	
			"Goodbyes is such a good song, never hear anyone talk about how good it is"	
			Ummmmm is that Sublime as his Band???? WTF????? LEGENDARY POST!!!!!!!	
			Feeling Whitney is so underrated. Especially this performance of the song is awesome	
			Why is circles my favorite song and it isn’t even out yet	
			Circles got that Fleetwood Mac vibe	
			“White Iverson is probably my only good song” 	
			"the dude on the back screaming ""give him a cigarette"" is a legend"	
	https://youtu.be/LRxYHsEJKgI	LRxYHsEJKgI	hes like ready to bed then the organizer call him to perform on stage.	
			Posty deserves better crowds than this man	
			HE IS TOO NICE FOR THIS WORLD	
			Post Malone is one of the most humble and nicest rappers out there! Truly cares about his fans...	
			Only posty can perform with his Crocs in front of a huge crowd	
			This makes me miss his curls so much 	
			posty so nice stopping the show to help someone	
			Post malone wearing crocs in a concert	
			I'm a fan of old school music but wen I come across this dude hes cool as	
			“I love you” hahaha	
Whitney Houston	https://youtu.be/N5su1XtMMsM	N5su1XtMMsM	She was so amazing!	
			She was soo  beautiful!	
			Great!!!	
			wowwww	
Bob Marley	https://youtu.be/bLkfzVSp49c	bLkfzVSp49c	He sings and tells a story of how we should all be. He knew about troubled times and he sang songs of One Love.	
			My youngest son's name is 'Marley'.  Bob is a big deal in our house.  Awesome day!!	
			"What a powerful show! Amazings Bob Marley & The Wailers. Carlton Barret's drum work in this concert is exquisite, what great musicians !!"	
			I’m a massive Marley fan this is cool	
			This man gave us the peace the world needed	
			Bob marley will help us through this messy world at the moment	
			Rise all freedom fighters	
			The best of all times .	
			We want to be free that's all	
			Oh my gooooooood he is so extraordinary	
Alicia Keys	https://youtu.be/uJW69FjTu7o	uJW69FjTu7o	Love Alicia!	
			Alicia is so different than any other artists and i like that unique style	
			"ALicia is incredible, emotional. Her music makes me feel shivers"	
			She loves to get outside the box.  Versatility.	
			"Alicia is the kind of artist where her music really speaks to you. For that, I love her so much!!"	
			"An amazing person who has never lost touch with reality, whilst attaining momentous fame, and the most amazing singer ever.  "	
			Love you Alicia!	
			Her voice is so unique	
			Alicia Keys can play the piano and sing at the same time	
			This lady is awesome in every way	
Damien Rice	https://youtu.be/cL7QZv9wCZ8	cL7QZv9wCZ8	Cheers Darlin' is quite possibly the best musical autobiographical performance Ive ever seen.	
			Rice is just genius personified. 	
			Incredible talent	
			"Amazing, what a showman!! he only needs a guitar, a piano and a glass of wine, no need of backup singers nor band."	
			"What a songwriter and performer... even ""authentically drunk"" :p. Thats taking your art seriously!"	
			I wonder what that Cheers Darlin girl would think if she heard it now.	
			Damien Rice is not a Music Artist Damien is the Music KING !!!!	
			when i feel dead i play this and i feel a little alive	
			I hope he gets royalties from Ed sheran	
			one man on a stage with just a guitar. he is such a talent man	
2CELLOS	https://youtu.be/qew2m1UdbXk	qew2m1UdbXk	I just love to see all the happy people! Look at their faces: that’s how we all ought to look more often. Happiness to everyone!	
			thanks for your music.	
			Can we all just get an upvote for that epic drummer???	
			"under tremendous stress, accidentially found this. A real remedy. Thank you."	
			This is the first time that music has touched my heart & soul --  like Freddie Mercury & Queen -- almost 50 years ago	
			These two are real crazy and i really crazy love them.	
			The Jimmy Hendrix of the Cello.  These 2 guys took their instruments to a new level..... Hendrix would approve!	
			*NEVER IN HISTORY HAVE 2 CELLOS BEEN TOTALLY MASTERED LIKE THIS*	
			simply magic!	
			"You bring my tears, timeless joy & more"	
	https://youtu.be/CGU2BBeKaXM	CGU2BBeKaXM	They are wonderful	
			These guys are so incredible......I am stunned listening to them ...	
			"If these talented musicians don't move you, then you are dead inside.  Just. Magnificent. ♥♥♥♥♥♥♥♥♥♥"	
			it is almost impossible  to turn them off.	
			The cello is my favourite instrument. 	
			"im an AC/DC fan , and listening for the first time this group and they way they played the songs that i love ..just brilliant.... YOU GUYS ROCK!!!!!"	
			YOU'RE EXTREMELY AMAAAAAZIIIINGG!!!	
			REALLY AWEEESOMEEE!!!!!	
			I nevere thought that can be possible to play that Rock & roll music with cellos. 	
			These guys are outstanding..	
	https://youtu.be/Sk5zxA9UP2Q	Sk5zxA9UP2Q	I think 2 CELLOS are the no 1 cello players in the world & I love 2 CELLOS	
			stimulating and beautiful harmonic blend.	
			They are fantastic!	
			Amazing ..	
			This is fantastic!!!	
			This. Was. Stunning. Loved every bit	
			A great mixture of passion and classic. Fabulous!	
			Absolutely stunning musical performance by two marvelous young men.  An old lady said so!!	
			GENIAL! 2 guys SO GENIUS. THE DIVINE HUMAN(ITY)! LOVE them	
			Blessings to you both.	
Edith Piaf	https://youtu.be/O_ha3rustRw	O_ha3rustRw	Elle est sans discussion possble la plus grande artiste de music hall en France.	
			Edith é excelente!	
			Magnifique !	
New Order	https://youtu.be/0Bu1fkgUM7s	0Bu1fkgUM7s	Stephen Paul David Morris = Human drum machine.	
			"I feel like crying when I hear Love Will Tear Us Apart by New Order, long live Joy Division forever."	
			His voice has aged well. Still sounds like he's my age.	
			They sound awesome. Still better then the majority of the crap put out today.	
			One of the seminal connections between rock and electronic dance music. Still sounds relevant and great.	
			When they play Joy Division songs is inpossible to me don't get emotional	
			I love Joy Division and New Order.	
			The only band that went through a time machine and brought  future to the past. Their music is way ahead of their time. NEW ORDER FOREVER!	
			Absolutely brilliant. Keep coming back for more. Really good gig.	
			I just love the way Bernard laughs at himself after realizing he screwed up the lyrics.	
Peggy Gou	https://youtu.be/-UOMvxh4MYU	-UOMvxh4MYU	"cellphones people, why would you film it when its live and also recorded?"	
			I would be so paranoid about the sculptures in danger...	
			What a beautiful place to play.	
			"Mixing or not, I'm liking this"	
			Track is pure beats	
			My new favourite set! 	
			"omg i love her already, she is killing it"	
			All those Smartphone Apes in the Crowd omfg....	
			"I really love, that she's playin also the old stuff from the 90'. Makes me feel young again :)"	
			The most beautiful woman on the planet slaying the game.	
	https://youtu.be/nKHpbiYCtDQ	nKHpbiYCtDQ	Out to Peggy Gou / Peggy Shoe / Peggy Boo (depending on drunkness)	
			Bruce Willis has quite a good taste in music	
			I DIED DEAD.	
			I think Peggy is cool.	
			just here for all the men with subpar mixing skills analyzing her set	
			i respect the black clout goggles	
			what a set peggy... 	
			She’s so cute	
			"anyone noticing kids on her back, i think they lost from their parent"	
